id,run,condition,aversiveness,control,helplessness,stress
1,1,con,65,70,65,60
1,2,con,50,65,40,40
1,3,con,60,60,40,40
1,4,con,60,60,40,40
1,1,noc,55,30,65,60
1,2,noc,65,30,65,55
1,3,noc,60,35,60,45
1,4,noc,60,35,60,35
1,1,bas,NA,NA,NA,10
1,2,bas,NA,NA,NA,10
1,3,bas,NA,NA,NA,10
1,4,bas,NA,NA,NA,5
2,1,con,45,25,40,30
2,2,con,0,70,20,20
2,3,con,0,100,10,5
2,4,con,5,95,5,0
2,1,noc,20,35,40,30
2,2,noc,0,65,25,20
2,3,noc,0,15,10,10
2,4,noc,0,90,5,0
2,1,bas,NA,NA,NA,15
2,2,bas,NA,NA,NA,10
2,3,bas,NA,NA,NA,0
2,4,bas,NA,NA,NA,0
3,1,con,90,65,75,65
3,2,con,65,90,10,65
3,3,con,25,65,20,30
3,4,con,55,100,0,20
3,1,noc,80,50,65,50
3,2,noc,75,0,95,60
3,3,noc,70,0,90,50
3,4,noc,65,0,85,50
3,1,bas,NA,NA,NA,50
3,2,bas,NA,NA,NA,50
3,3,bas,NA,NA,NA,5
3,4,bas,NA,NA,NA,0
4,1,con,65,20,0,35
4,2,con,60,65,0,60
4,3,con,60,0,0,60
4,4,con,60,60,0,65
4,1,noc,65,0,0,40
4,2,noc,60,35,25,40
4,3,noc,60,0,0,60
4,4,noc,60,70,0,40
4,1,bas,NA,NA,NA,60
4,2,bas,NA,NA,NA,65
4,3,bas,NA,NA,NA,70
4,4,bas,NA,NA,NA,75
5,1,con,70,100,0,30
5,2,con,65,100,0,25
5,3,con,65,100,0,25
5,4,con,70,100,0,20
5,1,noc,75,0,100,60
5,2,noc,70,0,100,50
5,3,noc,65,0,100,50
5,4,noc,65,0,100,40
5,1,bas,NA,NA,NA,10
5,2,bas,NA,NA,NA,10
5,3,bas,NA,NA,NA,5
5,4,bas,NA,NA,NA,5
6,1,con,80,60,55,60
6,2,con,85,70,50,55
6,3,con,75,60,40,60
6,4,con,65,65,35,60
6,1,noc,85,35,65,55
6,2,noc,80,40,70,60
6,3,noc,65,40,60,60
6,4,noc,65,40,60,50
6,1,bas,NA,NA,NA,35
6,2,bas,NA,NA,NA,40
6,3,bas,NA,NA,NA,35
6,4,bas,NA,NA,NA,40
7,1,con,70,85,10,5
7,2,con,70,80,50,10
7,3,con,70,80,0,10
7,4,con,60,80,5,5
7,1,noc,85,50,15,5
7,2,noc,70,15,10,10
7,3,noc,65,50,10,5
7,4,noc,60,50,10,5
7,1,bas,NA,NA,NA,0
7,2,bas,NA,NA,NA,5
7,3,bas,NA,NA,NA,0
7,4,bas,NA,NA,NA,0
8,1,con,85,75,10,65
8,2,con,85,90,0,75
8,3,con,85,90,0,65
8,4,con,80,90,0,55
8,1,noc,85,0,65,70
8,2,noc,85,0,85,65
8,3,noc,80,0,85,90
8,4,noc,80,0,85,45
8,1,bas,NA,NA,NA,0
8,2,bas,NA,NA,NA,0
8,3,bas,NA,NA,NA,0
8,4,bas,NA,NA,NA,0
9,1,con,55,55,10,25
9,2,con,55,90,10,15
9,3,con,55,75,0,20
9,4,con,55,65,0,20
9,1,noc,55,50,65,55
9,2,noc,55,0,100,70
9,3,noc,60,0,90,25
9,4,noc,55,0,80,25
9,1,bas,NA,NA,NA,5
9,2,bas,NA,NA,NA,20
9,3,bas,NA,NA,NA,10
9,4,bas,NA,NA,NA,25
10,1,con,45,80,0,40
10,2,con,50,60,10,35
10,3,con,50,60,20,35
10,4,con,55,45,20,40
10,1,noc,50,45,60,15
10,2,noc,45,40,65,40
10,3,noc,55,45,60,35
10,4,noc,50,20,60,40
10,1,bas,NA,NA,NA,0
10,2,bas,NA,NA,NA,0
10,3,bas,NA,NA,NA,30
10,4,bas,NA,NA,NA,5
11,1,con,55,90,5,0
11,2,con,80,70,15,15
11,3,con,55,85,10,15
11,4,con,0,100,0,0
11,1,noc,5,80,15,10
11,2,noc,90,50,25,20
11,3,noc,60,50,25,20
11,4,noc,0,100,0,0
11,1,bas,NA,NA,NA,0
11,2,bas,NA,NA,NA,0
11,3,bas,NA,NA,NA,0
11,4,bas,NA,NA,NA,0
12,1,con,45,75,25,40
12,2,con,45,80,15,20
12,3,con,35,95,5,10
12,4,con,30,95,0,10
12,1,noc,40,70,30,25
12,2,noc,35,80,15,5
12,3,noc,45,85,10,10
12,4,noc,30,90,10,10
12,1,bas,NA,NA,NA,40
12,2,bas,NA,NA,NA,15
12,3,bas,NA,NA,NA,15
12,4,bas,NA,NA,NA,20
13,1,con,90,60,60,70
13,2,con,85,95,30,75
13,3,con,85,85,70,75
13,4,con,80,85,25,70
13,1,noc,85,65,70,70
13,2,noc,85,55,70,80
13,3,noc,90,25,30,80
13,4,noc,80,20,20,80
13,1,bas,NA,NA,NA,55
13,2,bas,NA,NA,NA,55
13,3,bas,NA,NA,NA,45
13,4,bas,NA,NA,NA,35
14,1,con,65,50,40,30
14,2,con,70,40,20,30
14,3,con,65,65,25,10
14,4,con,55,55,20,10
14,1,noc,55,45,30,30
14,2,noc,70,50,35,30
14,3,noc,60,35,25,10
14,4,noc,60,30,30,10
14,1,bas,NA,NA,NA,10
14,2,bas,NA,NA,NA,10
14,3,bas,NA,NA,NA,10
14,4,bas,NA,NA,NA,5
15,1,con,75,55,15,60
15,2,con,70,65,15,55
15,3,con,70,75,15,70
15,4,con,65,75,20,40
15,1,noc,80,30,65,45
15,2,noc,70,30,65,65
15,3,noc,70,20,75,45
15,4,noc,70,30,75,55
15,1,bas,NA,NA,NA,5
15,2,bas,NA,NA,NA,5
15,3,bas,NA,NA,NA,5
15,4,bas,NA,NA,NA,0
16,1,con,75,40,70,55
16,2,con,70,70,35,60
16,3,con,70,65,60,65
16,4,con,70,70,70,60
16,1,noc,75,20,95,75
16,2,noc,70,10,80,70
16,3,noc,70,5,85,65
16,4,noc,70,20,80,70
16,1,bas,NA,NA,NA,0
16,2,bas,NA,NA,NA,0
16,3,bas,NA,NA,NA,0
16,4,bas,NA,NA,NA,0
17,1,con,90,80,50,60
17,2,con,75,75,25,50
17,3,con,75,70,20,40
17,4,con,80,60,40,40
17,1,noc,80,50,30,50
17,2,noc,75,50,40,45
17,3,noc,75,40,35,30
17,4,noc,70,45,45,40
17,1,bas,NA,NA,NA,0
17,2,bas,NA,NA,NA,0
17,3,bas,NA,NA,NA,15
17,4,bas,NA,NA,NA,15
18,1,con,60,35,20,10
18,2,con,70,85,10,10
18,3,con,60,85,15,15
18,4,con,25,85,10,10
18,1,noc,65,50,5,5
18,2,noc,65,70,10,15
18,3,noc,65,75,15,20
18,4,noc,55,95,5,5
18,1,bas,NA,NA,NA,0
18,2,bas,NA,NA,NA,10
18,3,bas,NA,NA,NA,20
18,4,bas,NA,NA,NA,15
19,1,con,60,85,30,25
19,2,con,35,80,25,15
19,3,con,45,80,15,5
19,4,con,40,35,35,15
19,1,noc,70,20,50,40
19,2,noc,60,20,55,25
19,3,noc,55,25,45,30
19,4,noc,45,20,40,20
19,1,bas,NA,NA,NA,0
19,2,bas,NA,NA,NA,0
19,3,bas,NA,NA,NA,0
19,4,bas,NA,NA,NA,0
20,1,con,80,65,40,40
20,2,con,85,85,50,30
20,3,con,85,75,50,35
20,4,con,75,85,35,40
20,1,noc,80,0,40,60
20,2,noc,90,15,25,30
20,3,noc,90,0,30,65
20,4,noc,75,10,40,80
20,1,bas,NA,NA,NA,5
20,2,bas,NA,NA,NA,5
20,3,bas,NA,NA,NA,0
20,4,bas,NA,NA,NA,5
21,1,con,80,70,75,60
21,2,con,65,85,5,45
21,3,con,60,85,10,45
21,4,con,60,85,5,35
21,1,noc,85,80,75,65
21,2,noc,60,0,70,55
21,3,noc,60,0,80,60
21,4,noc,60,0,70,70
21,1,bas,NA,NA,NA,10
21,2,bas,NA,NA,NA,10
21,3,bas,NA,NA,NA,0
21,4,bas,NA,NA,NA,0
22,1,con,70,65,25,70
22,2,con,65,75,30,60
22,3,con,75,65,40,70
22,4,con,70,65,40,60
22,1,noc,60,45,65,80
22,2,noc,65,35,70,80
22,3,noc,70,35,55,75
22,4,noc,70,45,60,80
22,1,bas,NA,NA,NA,15
22,2,bas,NA,NA,NA,20
22,3,bas,NA,NA,NA,10
22,4,bas,NA,NA,NA,20
23,1,con,70,45,65,70
23,2,con,45,55,40,80
23,3,con,60,55,40,60
23,4,con,50,55,40,70
23,1,noc,60,40,80,55
23,2,noc,60,55,70,60
23,3,noc,65,40,70,60
23,4,noc,55,45,70,75
23,1,bas,NA,NA,NA,0
23,2,bas,NA,NA,NA,0
23,3,bas,NA,NA,NA,0
23,4,bas,NA,NA,NA,0
24,1,con,75,60,70,55
24,2,con,75,85,30,55
24,3,con,65,80,20,40
24,4,con,55,70,30,40
24,1,noc,80,35,65,60
24,2,noc,70,45,40,55
24,3,noc,65,40,55,55
24,4,noc,60,40,20,30
24,1,bas,NA,NA,NA,15
24,2,bas,NA,NA,NA,10
24,3,bas,NA,NA,NA,15
24,4,bas,NA,NA,NA,0
25,1,con,55,45,10,15
25,2,con,45,80,5,5
25,3,con,40,80,0,0
25,4,con,35,80,0,0
25,1,noc,40,55,15,15
25,2,noc,50,50,10,5
25,3,noc,40,40,0,0
25,4,noc,35,50,0,0
25,1,bas,NA,NA,NA,10
25,2,bas,NA,NA,NA,5
25,3,bas,NA,NA,NA,0
25,4,bas,NA,NA,NA,0
26,1,con,75,85,15,70
26,2,con,70,80,70,85
26,3,con,75,80,20,95
26,4,con,75,85,45,85
26,1,noc,85,60,70,75
26,2,noc,80,40,60,30
26,3,noc,80,30,25,30
26,4,noc,85,35,30,25
26,1,bas,NA,NA,NA,5
26,2,bas,NA,NA,NA,20
26,3,bas,NA,NA,NA,0
26,4,bas,NA,NA,NA,5
27,1,con,5,70,20,30
27,2,con,5,60,40,30
27,3,con,5,60,40,55
27,4,con,5,60,35,70
27,1,noc,5,40,70,60
27,2,noc,5,30,60,55
27,3,noc,5,20,70,60
27,4,noc,5,30,75,80
27,1,bas,NA,NA,NA,30
27,2,bas,NA,NA,NA,15
27,3,bas,NA,NA,NA,25
27,4,bas,NA,NA,NA,30
28,1,con,90,80,85,75
28,2,con,75,40,80,70
28,3,con,60,75,40,70
28,4,con,65,70,45,60
28,1,noc,85,35,80,80
28,2,noc,75,35,85,80
28,3,noc,70,35,75,75
28,4,noc,65,25,25,70
28,1,bas,NA,NA,NA,60
28,2,bas,NA,NA,NA,65
28,3,bas,NA,NA,NA,30
28,4,bas,NA,NA,NA,30
29,1,con,75,30,50,80
29,2,con,70,55,60,70
29,3,con,75,45,55,60
29,1,noc,75,35,40,80
29,2,noc,70,45,60,75
29,3,noc,75,40,55,55
29,1,bas,NA,NA,NA,40
29,2,bas,NA,NA,NA,35
29,3,bas,NA,NA,NA,40
30,1,con,75,75,30,65
30,2,con,35,100,10,30
30,3,con,10,100,0,10
30,4,con,5,100,0,10
30,1,noc,75,25,90,80
30,2,noc,40,80,30,35
30,3,noc,10,90,10,15
30,4,noc,0,100,10,10
30,1,bas,NA,NA,NA,10
30,2,bas,NA,NA,NA,10
30,3,bas,NA,NA,NA,0
30,4,bas,NA,NA,NA,0
31,1,con,95,30,85,80
31,2,con,80,75,65,70
31,3,con,75,70,65,65
31,4,con,55,60,65,60
31,1,noc,85,40,90,95
31,2,noc,80,20,10,15
31,3,noc,85,15,5,20
31,4,noc,60,15,50,85
31,1,bas,NA,NA,NA,25
31,2,bas,NA,NA,NA,15
31,3,bas,NA,NA,NA,10
31,4,bas,NA,NA,NA,15
32,1,con,65,60,40,70
32,2,con,60,65,40,60
32,3,con,60,65,40,45
32,4,con,60,65,40,50
32,1,noc,55,35,75,80
32,2,noc,60,30,70,70
32,3,noc,55,35,65,65
32,4,noc,50,40,65,60
32,1,bas,NA,NA,NA,35
32,2,bas,NA,NA,NA,30
32,3,bas,NA,NA,NA,30
32,4,bas,NA,NA,NA,40
33,1,con,75,50,25,10
33,2,con,35,85,5,20
33,3,con,30,75,25,20
33,4,con,30,90,5,15
33,1,noc,70,10,75,30
33,2,noc,40,20,30,30
33,3,noc,30,15,40,20
33,4,noc,25,30,30,20
33,1,bas,NA,NA,NA,5
33,2,bas,NA,NA,NA,0
33,3,bas,NA,NA,NA,0
33,4,bas,NA,NA,NA,0
34,1,con,55,35,75,30
34,2,con,70,35,80,45
34,3,con,80,15,90,75
34,4,con,90,5,95,10
34,1,noc,65,30,70,30
34,2,noc,60,25,65,40
34,3,noc,75,15,75,15
34,4,noc,85,5,95,10
34,1,bas,NA,NA,NA,20
34,2,bas,NA,NA,NA,35
34,3,bas,NA,NA,NA,20
34,4,bas,NA,NA,NA,10
35,1,con,90,30,80,70
35,2,con,80,30,10,20
35,3,con,65,90,5,30
35,4,con,50,85,10,15
35,1,noc,90,0,90,70
35,2,noc,80,5,80,70
35,3,noc,65,0,50,45
35,4,noc,50,0,95,40
35,1,bas,NA,NA,NA,10
35,2,bas,NA,NA,NA,5
35,3,bas,NA,NA,NA,0
35,4,bas,NA,NA,NA,0
36,1,con,0,0,0,0
36,2,con,0,95,0,5
36,3,con,10,90,5,0
36,4,con,35,95,0,0
36,1,noc,0,100,0,5
36,2,noc,0,95,0,0
36,3,noc,10,95,5,0
36,4,noc,30,45,50,0
36,1,bas,NA,NA,NA,0
36,2,bas,NA,NA,NA,0
36,3,bas,NA,NA,NA,0
36,4,bas,NA,NA,NA,0
37,1,con,90,55,65,75
37,2,con,95,50,35,80
37,3,con,95,85,15,55
37,1,noc,95,30,90,95
37,2,noc,95,5,95,80
37,3,noc,95,45,85,70
37,1,bas,NA,NA,NA,40
37,2,bas,NA,NA,NA,15
37,3,bas,NA,NA,NA,15
38,1,con,50,55,70,40
38,2,con,50,35,70,40
38,3,con,65,35,65,40
38,4,con,65,60,40,50
38,1,noc,55,55,70,40
38,2,noc,55,35,65,40
38,3,noc,60,35,65,40
38,4,noc,70,20,80,50
38,1,bas,NA,NA,NA,40
38,2,bas,NA,NA,NA,40
38,3,bas,NA,NA,NA,40
38,4,bas,NA,NA,NA,50
39,1,con,50,45,40,50
39,2,con,50,55,40,35
39,3,con,50,65,30,25
39,4,con,50,65,30,25
39,1,noc,50,45,50,45
39,2,noc,55,40,45,40
39,3,noc,50,45,40,35
39,4,noc,50,45,55,35
39,1,bas,NA,NA,NA,35
39,2,bas,NA,NA,NA,30
39,3,bas,NA,NA,NA,20
39,4,bas,NA,NA,NA,15
40,1,con,70,85,50,55
40,2,con,75,80,40,35
40,3,con,80,85,25,30
40,4,con,60,75,30,25
40,1,noc,70,55,70,60
40,2,noc,70,40,60,55
40,3,noc,80,45,30,45
40,4,noc,65,75,30,25
40,1,bas,NA,NA,NA,0
40,2,bas,NA,NA,NA,0
40,3,bas,NA,NA,NA,0
40,4,bas,NA,NA,NA,0
41,1,con,35,15,10,15
41,2,con,30,75,50,55
41,3,con,40,80,20,10
41,1,noc,35,10,30,15
41,2,noc,30,0,60,35
41,3,noc,40,45,70,60
41,1,bas,NA,NA,NA,15
41,2,bas,NA,NA,NA,20
41,3,bas,NA,NA,NA,20
42,1,con,60,60,50,60
42,2,con,50,45,45,55
42,3,con,60,50,40,45
42,4,con,65,50,55,45
42,1,noc,60,65,50,55
42,2,noc,55,40,55,55
42,3,noc,60,60,55,55
42,4,noc,60,40,45,45
42,1,bas,NA,NA,NA,50
42,2,bas,NA,NA,NA,50
42,3,bas,NA,NA,NA,40
42,4,bas,NA,NA,NA,35
43,1,con,80,75,20,50
43,2,con,60,60,75,50
43,3,con,65,50,60,60
43,4,con,60,50,50,70
43,1,noc,80,30,70,60
43,2,noc,70,20,75,60
43,3,noc,60,35,65,55
43,4,noc,70,50,50,70
43,1,bas,NA,NA,NA,0
43,2,bas,NA,NA,NA,0
43,3,bas,NA,NA,NA,0
43,4,bas,NA,NA,NA,0
44,1,con,60,30,75,80
44,2,con,70,40,70,70
44,3,con,85,80,70,70
44,4,con,85,60,60,35
44,1,noc,70,0,90,80
44,2,noc,80,20,80,80
44,3,noc,85,20,80,70
44,4,noc,90,35,75,70
44,1,bas,NA,NA,NA,80
44,2,bas,NA,NA,NA,60
44,3,bas,NA,NA,NA,60
44,4,bas,NA,NA,NA,60
45,1,con,85,75,70,60
45,2,con,90,85,45,55
45,3,con,90,80,30,60
45,4,con,85,90,15,40
45,1,noc,85,75,60,60
45,2,noc,90,20,80,60
45,3,noc,90,15,20,60
45,4,noc,90,20,80,60
45,1,bas,NA,NA,NA,30
45,2,bas,NA,NA,NA,45
45,3,bas,NA,NA,NA,45
45,4,bas,NA,NA,NA,35
46,1,con,65,40,25,15
46,2,con,45,40,65,20
46,3,con,30,35,65,10
46,4,con,25,30,70,10
46,1,noc,65,40,70,20
46,2,noc,45,15,75,20
46,3,noc,30,30,75,10
46,4,noc,25,30,85,10
46,1,bas,NA,NA,NA,20
46,2,bas,NA,NA,NA,5
46,3,bas,NA,NA,NA,10
46,4,bas,NA,NA,NA,10
47,1,con,55,50,30,30
47,2,con,30,20,20,20
47,3,con,25,15,15,20
47,4,con,20,20,20,10
47,1,noc,50,10,30,40
47,2,noc,35,25,25,20
47,3,noc,25,15,15,20
47,4,noc,20,20,20,10
47,1,bas,NA,NA,NA,10
47,2,bas,NA,NA,NA,10
47,3,bas,NA,NA,NA,15
47,4,bas,NA,NA,NA,10
48,1,con,75,75,70,60
48,2,con,75,35,35,50
48,3,con,70,50,40,40
48,4,con,55,55,40,40
48,1,noc,65,35,35,60
48,2,noc,65,20,25,70
48,3,noc,60,15,75,60
48,4,noc,65,30,65,50
48,1,bas,NA,NA,NA,45
48,2,bas,NA,NA,NA,45
48,3,bas,NA,NA,NA,30
48,4,bas,NA,NA,NA,30
49,1,con,45,40,70,55
49,2,con,55,70,25,60
49,3,con,55,85,25,60
49,4,con,60,30,35,60
49,1,noc,45,50,70,75
49,2,noc,55,15,80,70
49,3,noc,55,0,85,75
49,4,noc,60,0,95,80
49,1,bas,NA,NA,NA,20
49,2,bas,NA,NA,NA,10
49,3,bas,NA,NA,NA,25
49,4,bas,NA,NA,NA,15
50,1,con,65,80,70,40
50,2,con,65,45,70,50
50,3,con,75,45,60,50
50,4,con,75,70,65,50
50,1,noc,75,35,65,35
50,2,noc,70,40,65,50
50,3,noc,70,35,75,50
50,4,noc,75,35,75,55
50,1,bas,NA,NA,NA,35
50,2,bas,NA,NA,NA,50
50,3,bas,NA,NA,NA,50
50,4,bas,NA,NA,NA,50
51,1,con,70,80,20,25
51,2,con,75,65,25,60
51,3,con,20,70,15,10
51,4,con,20,75,25,15
51,1,noc,70,55,35,30
51,2,noc,70,60,30,30
51,3,noc,40,65,30,25
51,4,noc,25,65,40,20
51,1,bas,NA,NA,NA,0
51,2,bas,NA,NA,NA,0
51,3,bas,NA,NA,NA,20
51,4,bas,NA,NA,NA,5
52,1,con,70,45,75,60
52,2,con,65,70,70,70
52,3,con,65,60,60,70
52,4,con,65,75,60,75
52,1,noc,65,30,85,75
52,2,noc,65,25,85,70
52,3,noc,65,30,75,75
52,4,noc,65,25,85,75
52,1,bas,NA,NA,NA,35
52,2,bas,NA,NA,NA,60
52,3,bas,NA,NA,NA,65
52,4,bas,NA,NA,NA,65